county,county_fips,evacuation_type,cbg_fips
harris,48201,voluntary,482012517004
harris,48201,voluntary,482012518001
harris,48201,voluntary,482012519011
harris,48201,voluntary,482012519012
harris,48201,voluntary,482012519013
harris,48201,voluntary,482012519014
harris,48201,voluntary,482012519021
harris,48201,voluntary,482012519022
harris,48201,voluntary,482012519023
harris,48201,voluntary,482012520001
harris,48201,voluntary,482012521001
harris,48201,voluntary,482012522001
harris,48201,voluntary,482012522002
harris,48201,voluntary,482012523011
harris,48201,voluntary,482012523012
harris,48201,voluntary,482012523013
harris,48201,voluntary,482012523021
harris,48201,voluntary,482012523022
harris,48201,voluntary,482012523023
harris,48201,voluntary,482012524001
harris,48201,voluntary,482012524002
harris,48201,voluntary,482012524003
harris,48201,voluntary,482012524004
harris,48201,voluntary,482012525001
harris,48201,voluntary,482012525002
harris,48201,voluntary,482012525003
harris,48201,voluntary,482012525004
harris,48201,voluntary,482012526001
harris,48201,voluntary,482012526002
harris,48201,voluntary,482012526003
harris,48201,voluntary,482012526004
harris,48201,voluntary,482012527001
harris,48201,voluntary,482012527002
harris,48201,voluntary,482012527003
harris,48201,voluntary,482012528001
harris,48201,voluntary,482012528002
harris,48201,voluntary,482012528003
harris,48201,voluntary,482012529001
harris,48201,voluntary,482012529002
harris,48201,voluntary,482012529003
harris,48201,voluntary,482012529004
harris,48201,voluntary,482012529005
harris,48201,voluntary,482012530001
harris,48201,voluntary,482012530002
